pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive
https://www.sephora.sg/products/fresh-soy-face-cleanser/v/150ml,FRESH,Soy Face Cleanser,63.0,4.4,10760,0
https://www.sephora.sg/products/the-ordinary-squalane-cleanser/v/50ml,THE ORDINARY,Squalane Cleanser,16.0,4.0,916,0
https://www.sephora.sg/products/sephora-collection-wishing-you-advent-calendar-set-christmas-limited-edition,SEPHORA COLLECTION,Wishing You Advent Calendar Set (Christmas Limited Edition),89.0,NA,NA,0
https://www.sephora.sg/products/sephora-collection-cleansing-face-wipe/v/aloe-vera-3378872138839,SEPHORA COLLECTION,Cleansing Face Wipe,13.0,4.1,82,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/farmacy-green-clean-makeup-meltaway-cleansing-balm/v/200ml,FARMACY,Green Clean Makeup Meltaway Cleansing Balm,96.0,4.7,673,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/tatcha-clarifying-essentials-set-christmas-limited-edition,TATCHA,Clarifying Essentials Set (Christmas Limited Edition),119.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/sephora-collection-triple-action-cleansing-micellar-water/v/400ml,SEPHORA COLLECTION,Triple Action Cleansing Micellar Water,29.0,4.4,336,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/glow-recipe-blueberry-bounce-gentle-cleanser/v/30ml,GLOW RECIPE,Blueberry Bounce Gentle Cleanser,16.0,3.9,1394,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/tatcha-dewy-cleanse-and-hydrate-duo-christmas-limited-edition,TATCHA,Dewy Cleanse And Hydrate Duo (Christmas Limited Edition),45.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/origins-serious-detox-skincare-set,ORIGINS,Serious Detox Skincare Set,27.0,5.0,2,0
https://www.sephora.sg/products/tatcha-dewy-skin-essentials-set-christmas-limited-edition,TATCHA,Dewy Skin Essentials Set (Christmas Limited Edition),132.0,NA,NA,0
https://www.sephora.sg/products/fresh-skincare-prep-essentials-christams-limited-edition,FRESH,Skincare Prep Essentials (Christmas Limited Edition),38.0,5.0,2,0
https://www.sephora.sg/products/the-inkey-list-oat-cleansing-balm/v/150ml-5060879822221,THE INKEY LIST,Oat Cleansing Balm,20.0,3.8,2214,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/origins-glow-booster-cleanse-glow-hydrate-skincare-set,ORIGINS,"Glow Booster - Cleanse, Glow, Hydrate Skincare Set",27.0,4.3,3,0
https://www.sephora.sg/products/sk-ii-facial-treatment-gentle-cleanser,SK-II,Facial Treatment Gentle Cleanser,99.0,4.6,250,0
https://www.sephora.sg/products/dr-dot-jart-plus-dermaclear-micro-ph-foam-facial-cleanser/v/120ml,DR.JART+,Dermaclear Micro pH Foam Facial Cleanser,29.0,4.4,346,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/tatcha-clarifying-cleanse-and-hydrate-duo-christmas-limited-edition,TATCHA,Clarifying Cleanse And Hydrate Duo (Christmas Limited Edition),45.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/tatcha-the-rice-wash-cleanser,TATCHA,The Rice Wash Cleanser,58.0,4.5,2377,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/shu-uemura-anti-slash-oxi-plus-pollutant-and-dullness-clarifying-cleansing-oil/v/450ml,SHU UEMURA,Anti/Oxi+ Pollutant And Dullness Clarifying Cleansing Oil,143.0,4.9,16,0
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58.0,4.8,4,0
https://www.sephora.sg/products/fresh-best-selling-duo-christmas-limited-edition,FRESH,Best Selling Duo (Christmas Limited Edition),38.0,NA,NA,0
https://www.sephora.sg/products/fresh-soy-face-cleanser-limited-edition-42042,FRESH,Soy Face Cleanser (Limited-Edition),81.0,4.8,25,0
