unique_id,review_country,review_title,review_text
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Great night moisturiser,"I've been using this every night since I got it. It feels light and cool but sufficiently moisturising for my skin. I think it has improved my skin's appearance over the last month. It smells good too. A little goes a long way so even though the price point is on the high side for me, I think I'll get sufficient value for it over time."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,love this product ,"I love this product and the range of ole Henriksen , it has to be one of the better moisturiser out there. My face feels moist and soft. It’s not greasy or oily! ! ! ❤️ ❤️  ❤️
"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Best face cream,"This peptide moisturiser is the one I was looking for. I have been using this for few weeks now and I have noticed a change in my skin already. My skin is more 
plump and even. "
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Great product,"It does need a second to melt, but it is really nourishing and smoothing, the scent is pleasant too. "
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,miss ,Wow I am impressed. I always get a lighter moisturiser because I am oily but this moisturiser has nourished my skin and gives it a good drink. I don’t feel like it gets oily through the day. Wish there was an SPF version too
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Trainer Peptide,Love this! I use this AM and PM.It helps improves dryness and redness on skin after skin treatment. I dont need eye cream this improves wrinkles under eye too.Finished 3 bottle and will continue repurchasing!
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Incredible for mature skin!,"I've tried a lot of creams for mature skin, and I've spent thousands of dollars finding the right one - but I've hit the jackpot with Ole Henriksen Strength Trainer Peptide Cream!
I've been using it once daily (mornings), and in less than a week, my skin has firmed, looks hydrated and plumped!
A little goes a very long way. It's not greasy, it doesn't clog my pores - it glides on ever-so smooth and easy. Well worth the money spent and before the jar I have is empty, I'll be stocking up on more!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Canada,My skin thanks me,Texture isn’t too oily and probably the best moisturizer I’ve ever used.  I had seen Tati Westbrook talked about it and raving about and I had to give it a shot. Highly recommend
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,"The most hydrating, beautiful product I’ve ever used. ","I was recommended to try this product by my sister who has the complete opposite skin type to me (she’s oily, I’m dry & sensitive) and it’s just perfect. It goes on so well you really don’t need much so don’t let the size of the jar stress you out. Less is more with this product. I’m so in love with it and feel like I’ve finally found my staple face moisturiser!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,My go to ,"I’ve bought 3 of tees so far, it being my third jar. I love that it lasts for so long because it feels so luxurious on the skin. It gives me enough moisture without feeling heavy or icky. I have dry/eczema skin. "
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Canada,Liking this,"I have only used for about a month yet and I feel confident it will do great. Just have to wait and see.
Texture is easy to apply but I wish it were on the creamier side.
A bit oily for my oily skin but should be fine because I expect bedtime products to have more masking strength.
There's a scent to it but mild. So far so good."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Odd consistency and doesn't moisturize well,"I'm a big fan of most Ole Henriksen products but this one was a bit of a let-down for me. I have combination skin that leans dry, and I was looking for a good moisturizer. It has a nice clean scent, but that's about the only thing I liked about it - the product is very thick (in a weird, plastic-y way), and it just felt heavy on my face without moisturizing regardless of how much or how little I applied. It also caused some texture that wasn't there before to appear on my skin. I ended up throwing this in the ""emergency products"" box in my bathroom cabinet as a last resort moisturizer, but I would not repurchase it."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,I like!,Didn't think it was for me but I will always try anything even though I've got sensitive skin. Feel more moisturised however for the price tag..... don't think I'd come back. 
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,all time fav ,"This is my second time purchasing this moisturiser I can’t fault it, it’s like a gel cream texture and great from my combination dry and oily skin it has a little bit of fragrance but not overpowering at all, just nice and fresh"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,nice product ,Nice moisturiser can’t say it was life changing but I have finished the whole thing without realising so obviously kept going back to it. Very nice and easy to work with. 
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,beautiful,i bought this after recommendation from a sephora worker - so glad i did. love the texture - it’s a rich gel/cream at the same time. a little goes a long way with this product. my skin is dry and sensitive/acne prone and this has managed to keep my skin moisturised without irritating whatsoever. 
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Singapore,Moisturiser,Love this product. Texture is cream yet not very heavy. Price point is good too
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,It's become a staple,"Such a wonderful moisturizer for dry/winter skin. It can feel a bit heavy at first, but does dry down after 15 minutes or so. I will continue to repurchase because it meets my combo/dry skin needs and smells great (very light citrus smell)."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,LOVE,"Love this! I use it night and when I wake up the next morning my skin looks so glowy and fresh. it also smells amazing! it's worth the cost as a little goes a long way, plus amazing effects. "
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Canada,A Must Have In My Skincare Routine,I use this faithfully morning and night.  I was introduced to this by a beauty influencer on youtube and fell in love.  My skin looks so juicy and plump. I am 52 and there are days that I use just this because my skin looks so wonderful.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Hydration without heaviness,Only been using this for a week so can't say what the long term results are yet if any. However it is nice and light on the skin but really hydrating at the same time. No sticky or greasy feel after application and sinks well into my skin. Plus no irritation from it either. And it's nice under make-up. 
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Combo Skin Friendly!,After using this moisturizer for the past month or so I've concluded that I enjoy it a lot. I have combo skin and I love using this moisturizer not only at night but also to prep my skin for makeup. You only need a little bit for your entire face and it does not leave you feeling greasy at all. I also have acne prone skin and the skin around my eyes is very sensitive and I'm happy to report that I have not experience any breakouts nor any kind of burning or stinging sensation on my eyes after using this product. Bottom line it is really good and I will buy it again.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Canada,Not worth the price,Literally DOES NOT compare to the Ole Henriksen Sheer Perfecting Moisturizer. This moisturizer is so thick and caused me to breakout and have so many whiteheads. Would not recommend at all.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Malaysia,an ‘okay’,"Been using this for a month and couldn’t see any effect at all, other than just moisturizing,which any other moisturizer would do. Not heavy or anything. In fact, not moisturizing enough for my skin. Has a faint scent of fresh lemon but not bothersome. A bit pricy for the amount. But got free gifts from ole henriksen"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,best nourishing moisturiser around,"I really love this. I can use it day and night and it is really hydrating, soothing, and nourishing for my skin. It has a thick texture but goes on the skin great. I can also wear it under makeup with no issues. If you have sensitive skin, try this."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Breakout madness,"I never break out but this gave me bumpy skin and huge cystic acne. Not sure what ingredient triggered it, so sad!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Singapore,uncertain ,"It’s an adequate product for daily use but I don’t see results on my face. It does provide some moisturizing effect but I don’t see any difference to my complexion 
"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Immediately no.,"Nope. My skin Hated this. I got this per Katie Fawns recommendation and pure regret. I looked up comedogenic ingredients and this has EVERY SINGLE ONE. I wanted to love this, but absolutely not. Since I purchased this I have the worst clogged pores around my mouth. Ugh wish I could return but it’s too late! Do not get this if you’re acne prone. 

not."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Obsessed.,I live in a super dry climate so keeping my skin moisturized is a constant battle. I use this at night followed by a face oil and in the morning under my makeup. My skin is pillowy and moisturized without feeling heavy. Already repurchased.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,gave my skin a boost ,Can see why it’s highly rated - it feels light and fresh but deeply moisturising at the same time. Smells pleasant. Another great product from ole henriksen! 
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,love this,I use this after cleansing with the YTTP kale cleanser and a little goes a long way. Super hydrating. I just bought my second pot. My skin has never been better! 4 stars because of the price. 
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Singapore,Fave cream!,"this is my first time using and I'm officially a convert! the consistency of the gel cream texture is suitable for both and night for my combi skin. my skin felt supple the next morning when used at night.
"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,Skin Food,"Lightweight texture, however is full of substance & a little goes along way, very emollient. It feeds the skin with every ingredient, proven to hydrate, support & protect it. Use under makeup to improve foundation performance or at night to assist skin rejuvenation while at rest. Add a Booster Serum like Fresh’s new Serum Elixir & your skin will thank you for it as they go together so well. Upon application has a light citrus aroma that doesn’t linger long, Feels like your feeding your skin topically with a recipe that works."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Canada,Nice thick consistency,I think it is good but I like La Mer moisturiser  more!
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Canada,NEW FAVOURITE,"LOVE this product.  I used to use the Algenist Anti Aging Moisturizer and loved it at first but it didnt really change my skin much and is double the price of this.  When my local store ran out of that, I tried this one, and now I've made the switch.  It is super hydrating but doesnt leave your skin oily.  Makeup goes on very smooth and stays hydrated all day.  Very subtle pleasant scent.  A little goes a long way.  And has everything you could want: peptides, amino acids, ceramides, collagen, hyaluronic acid!  Great product, would highly recommend!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Malaysia,Smells greatttt!,"I love Ole so much! The moisturizer is definitely my fav. The texture is like pudding but I like it. Not sure what kind of smell this is. Just that I don't really like the greasy feeling, it's like my face is really oily after applying it. Overall, very smooth and hydrating!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Moisturizing and brightening without suffocating,"This is my third OleHenriksen moisturizer I’ve tried and it’s by far the best. It’s a perfect mix between a lotion and gel feel. It smells amazing, feels great on the skin, and makes my skin look more alive"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,"Okay, but needs to list their ingredients!","After using this product, I’m not sure I can justify the price point. I wish I had known that this company doesn’t list its ingredients and just expects us to trust that nothing crazy is in the ingredients."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,newest fav!!,have already gone through 3 tubs! doesn't make me get all shiny and oily half way through the day and still hydrates enough and doesn't break out my easily congested skin
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Life Changing,"I would consider myself to have dry skin. I have used Tatcha, skin fix￼, first aid beauty, and fresh. NONE compared to this. My skin is glowing, bouncy, and so well hydrated. ￼"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Singapore,Super hydrating and plumping,Was recommended this moisturiser due to my dry skin and I must say... its one of my BEST buys from Sephora so far. Its super hydrating and it makes my skin looks so plump and healthy. Love it!
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Dried out my skin,Wanted to like this but it dried my skin out and made it rough. So sad.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Singapore,Favorite moisturizer ,"It has everything good in it, amazing formulation and ingredients. This is really good for people who want every good ingredient on their face but too lazy to go through a multiple step routine every night. I love the balmy texture, feels amazing on my skin. Very very hydrating. This is now my holy grail moisturizer. I hope this will continue to be restocked. I’ve only used this at night or during the day when I’m not wearing make up. So I don’t know if it will pill under makeup."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Bought this because of Tati,"This really is as good as everyone says! I really don’t need another moisturizer or primer but when you tell me something acts as a two I one, my interest is peeked. This is brilliant and don’t make my skin feel oily. Soaks in great and does blur a hit."
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,mixed feelings ,"I don’t know how I feel about this moisturiser🤷‍♀️ I use it everyday now but! I avoided using it for 2 weeks after I bought it’s because I thought it would be too “heavy” for my skin, it feels a bit greasy when you apply it, you need to give a few good minutes to soak in and then bam! It’s great . I guess it grows on you. Probably better for dry skin and winter weather
"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Ole Henriksen Strength Trainer Peptide Boost Moisturizer - 50ml,"Didn’t think I’d like this moisturizer but I gave it a try anyways! So glad I did, I have very sensitive/ oily skin and for me it works well! I use it at night when I don’t use any retinols, works well when I use lactic acids!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Singapore,moisturizer,wonderful wonderful i will order again when there is another round of sale. highly recommendable for dry skin. this can be applied day and night. therefore very versatile.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,Australia,best moisturiser!!!,"it doesn't compare with other moisturisers on the market, definitely lives up to all the claims and expectations, only moisturiser I haven't waited for it to be on sale to buy! because it's worth it!"
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Just Doesn't Cut it,I tried to like this moisturizer for months after the Sheer Transformation Perfecting moisturizer was discontinued. This one feels greasy and has a bad fragrance. It doesn't cut it for me.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Must have,Absolutely loved this face cream! Noticed visible results after just a few days! Will purchase again
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,New Zealand,great moisturizer ,Tried this after reading reviews for it. Was really surprised how much I liked it leaves my skin feeling so soft will definitely repurchase. Also love the smell
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Worthy of the brand name,I’m totally wow’d by this product. I’ve been looking for a new moisturizer with firming properties and this is my new holy grail. It’s thick to the touch but light on the skin. A little goes a long way. I’ve noticed improvements on my skin firmness and fine lines after only a week. It’s unscented and works well under makeup or mineral sunscreen.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,Hmmmmm,Cream is so moisturizing and leaves your face feeling nourished and hydrated do not use under makeup if you have oily skin though but is great for nighttime use and if u dry skin yes you love it
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,actually amazing,Actually amazing. I have used it night with moisturizer or by it’s self. Always a noticeable difference. I wish it wasn’t so expensive because it’s a dream. A little goes a long way because it does seam to melt a little when you take it out. I live in an area with 1% humidity and when I wear this at night I wake up with hydrated skin.
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,USA,New favorite moisturizer,"My new best friend, after watching YouTuber I finally gave in an bought this. Although I am older I have combo skin . Still get oily in T-Zone and was worried this would be to greasy for me.  My skin loves this , no excess oil just hydration where it needs it. At first I was only using at night because I was worried it would be to greasy for day but that is not the case. I use it as my last step before makeup and it makes my skin look fabulous. I will definitely repurchase"
