pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive
https://www.sephora.sg/products/supergoop-unseen-sunscreen-broad-spectrum-sunscreen-spf-40-pa-plus-plus-plus/v/50ml,SUPERGOOP!,Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,58.0,4.3,3488,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-spf-yeah-kit-christmas-limited-edition,SUPERGOOP!,SPF Yeah Kit (Christmas Limited Edition),59.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/shiseido-global-suncare-the-perfect-protector-spf-50-plus-slash-pa-plus-plus-plus-plus,SHISEIDO,Global Suncare The Perfect Protector SPF 50+/PA++++,65.0,4.5,65,0
https://www.sephora.sg/products/supergoop-mineral-mattescreen-spf-40-pa-plus-plus-plus,SUPERGOOP!,Mineral Mattescreen SPF 40 PA+++,63.0,4.2,155,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-play-everyday-lotion-with-sunflower-extract-broad-spectrum-sunscreen-spf-50-pa-plus-plus-plus-plus/v/532ml,SUPERGOOP!,PLAY Everyday Lotion With Sunflower Extract Broad Spectrum Sunscreen SPF 50 PA++++,94.0,4.2,1312,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-re-setting-100-percent-mineral-powder-broad-spectrum-sunscreen-spf-35-pa-plus-plus-plus/v/translucent,SUPERGOOP!,(Re)setting 100% Mineral Powder Broad Spectrum Sunscreen SPF 35 PA+++,49.0,4.2,442,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fenty-skin-hydra-vizor-invisible-broad-spectrum-spf-30-sunscreen-moisturizer/v/50ml,FENTY SKIN,Hydra Vizor Invisible Broad Spectrum SPF 30 Sunscreen Moisturizer,61.0,4.4,111,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-glowscreen-broad-spectrum-sunscreen-primer-spf-40-pa-plus-plus-plus/v/50ml,SUPERGOOP!,Glowscreen Broad Spectrum Sunscreen Primer SPF 40 PA+++,58.0,4.0,1657,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-glow-stick-sunscreen-spf-50-pa-plus-plus-plus-plus,SUPERGOOP!,Glow Stick Sunscreen SPF 50 PA++++,40.0,3.8,556,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-every-single-face-spr-shield-watery-lotion-spf-50,SUPERGOOP!,Every Single Face SPR-Shield watery lotion SPF 50,50.0,4.7,34,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/lancome-uv-expert-xl-shield-fresh-uv-aqua-gel,LANCÔME,UV Expert Youth-Shield™ Aqua Gel SPF50 PA++++,83.0,4.3,6,0
https://www.sephora.sg/products/glow-recipe-watermelon-glow-niacinamide-sunscreen-spf-50,GLOW RECIPE,Watermelon Glow Niacinamide Sunscreen SPF 50,54.0,3.9,1119,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-cc-screen-100-percent-mineral-cc-cream-broad-spectrum-sunscreen-spf-50-pa-plus-plus-plus/v/105n-fair-with-neutral-undertones,SUPERGOOP!,CC Screen 100% Mineral CC Cream Broad Spectrum Sunscreen SPF 50 PA+++,66.0,3.4,534,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-mineral-sheerscreen-spf-50-pa-plus-plus-plus-plus,SUPERGOOP!,Mineral Sheerscreen SPF 50 PA++++,60.0,5.0,1,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/jill-stuart-everyday-bright-uv-protector-tone-up-lavender-white-floral-sunscreen,JILL STUART,Everyday Bright UV Protector Tone Up Lavender White Floral Sunscreen,40.0,4.0,2,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/caudalie-vinosun-very-high-protection-lightweight-cream-spf-50-plus,CAUDALIE,Vinosun Very High Protection Lightweight Cream SPF 50+,39.0,4.0,1,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/ultra-violette-lean-screen-mineral-mattifying-spf-50-plus,ULTRA VIOLETTE,Lean Screen Mineral Mattifying SPF 50+,52.0,4.6,8,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fenty-skin-mini-skin-must-haves-skincare-set-limited-edition,FENTY SKIN,Mini Skin Must-Haves Skincare Set (Limited Edition),108.0,4.8,4,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-re-setting-refreshing-mist-spf-40/v/100ml,SUPERGOOP!,(Re)setting Refreshing Mist SPF 40,55.0,3.7,390,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-100-percent-mineral-sunscreen-stick-spf-50,SUPERGOOP!,100% Mineral Sunscreen Stick SPF 50,39.0,3.6,20,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/shiseido-urban-environment-triple-beauty-suncare-emulsion,SHISEIDO,Urban Environment Triple Beauty Suncare Emulsion,65.0,2.7,3,0
https://www.sephora.sg/products/tatcha-silken-pore-perfecting-sunscreen-broad-spectrum-spf-35-pa-plus-plus-plus,TATCHA,Silken Pore Perfecting Sunscreen Broad Spectrum SPF 35 PA+++,105.0,4.4,838,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fenty-skin-hydra-vizor-invisible-broad-spectrum-spf-30-sunscreen-moisturizer-refill,FENTY SKIN,Hydra Vizor Invisible Broad Spectrum SPF 30 Sunscreen Moisturizer Refill,52.0,4.6,12,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/supergoop-play-100-percent-mineral-lotion-spf-50-pa-plus-plus-plus-plus/v/100ml,SUPERGOOP!,Play 100% Mineral Lotion SPF 50 PA++++,62.0,3.6,5,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/ultra-violette-glow-and-go-trio-set-holiday-limited-edition,ULTRA VIOLETTE,Glow & Go Trio Set (Holiday Limited Edition),58.0,NA,NA,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/biossance-squalane-plus-zinc-sheer-mineral-sunscreen-spf-30-pa-plus-plus-plus,BIOSSANCE,Squalane + Zinc Sheer Mineral Sunscreen SPF 30 PA +++,48.0,4.0,6,SEPHORA EXCLUSIVE
