unique_id,review_country,review_title,review_text
FRESH-Soy Face Cleanser,Australia,enjoyed ,I very much liked this face cleanser! It felt lovely on the skin and definitely did the job of giving it a refreshing clean. Although I have now moved on to try a milk based cleanser as I seem to have very dry skin. If my current one doesn’t do the job I will definitely be repurchasing this one. 
FRESH-Soy Face Cleanser,Malaysia,fantastic ,Fantastic !!! Remover light makeup n dirt. Soften n soothing my skin. Suitable for daily use. Always my no1 choice. Been using all the FRESH range. 100 percent recommended. 
FRESH-Soy Face Cleanser,Australia,Facewash,Absolutely love this product and always re purchase! super simple and leaves you feeling very refreshed. Love how affordable this product is as well. 
FRESH-Soy Face Cleanser,Malaysia,fresh,"This product is good, great price and a very quality product. It really help me for my daily routine care. Hope to purchase it again in the future! Thank you"
FRESH-Soy Face Cleanser,Australia,average ,I bought this based on the reviews. I don’t find that it cleanses thoroughly and the tube dispensed too much at a time. I’m glad I tried it but I won’t be repurchasing.
FRESH-Soy Face Cleanser,Singapore,Daily routine face cleanser,My repeat purchase as it makes me feel fresh and not dry. Best of all give me the assurance as it also removes makeup. Will highly recommend the product.
FRESH-Soy Face Cleanser,Malaysia,Best cleanser!,"Definitely one of the gentlest cleanser I’ve used in my life. Been trying to stop and used other brand, but the impact is not the same as this one. My skin getting soft and I’m buying the biggest pack which can last quite long (around 3 + months). Best investment for my skin ❤️"
FRESH-Soy Face Cleanser,Malaysia,really love it,Bought this for my travel cleanser because of the size but it’s really good doesn’t feels tight or irritating..love the feeling after washing my face.. smells like cucumbers..
FRESH-Soy Face Cleanser,Singapore,Ms,I’ve been using this over 10 years! Love it! Best face cleaner ever with a reasonable price. It provides gentle and deep clean and it smells so good. I will keep using it
FRESH-Soy Face Cleanser,Australia,great for sensitive skin,Been using this for over three years. Great for sensitive skin and daily use. Very gentle on the face. Use twice daily. Pair well with the lotus moisturiser from Fresh.
FRESH-Soy Face Cleanser,Malaysia,Average,"Nothing to love, nothing to hate. It does it’s job which is cleansing. I have a dry combination skin FYI. It used to be great but I think they changed the formulation compared to the one in 2018"
FRESH-Soy Face Cleanser,Malaysia,The best cleanser for dry/ aging skin,"The first time I used this, I could see a difference in my skin tone. It didn't feel like the natural moisture of my skin had been stripped off. My skin looked hydrated and supple. I'm well past my 40s and this has been the best cleanser for my aging skin."
FRESH-Soy Face Cleanser,USA,A must have,Prior to using this face wash I was getting a lot of acne in my cheek area. Using this regularly (and simplifying my routine) really helped clear out my acne.
FRESH-Soy Face Cleanser,Malaysia,consultant ,First time try. Love the texture and how it make my skin feels so clean without feel tighten. Since i have dry skin so i need something that can help me having a good cleanser to help the moisture lock besides other skincare range so i choose this as my daily cleanser now. 
FRESH-Soy Face Cleanser,Singapore,Repeat purchase,Have been using this for a couple of years and find it gentle yet effective in cleaning. It suits my dry skin well as a non foaming cleanser. Happy to get it in a larger size. 
