,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Foam,Gel,Liquid,Lotion,Oil,20s,30s,40s,50+,Under20
0,4.5,OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
1,4.6,FRESH-Rose Deep Hydration Face Cream Moisturizer,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
2,4.4,OLE HENRIKSEN-Cold Plunge™ Pore Remedy Moisturizer,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
3,4.5,FIRST AID BEAUTY-Ultra Repair Cream,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
4,4.5,GLOW RECIPE-Plum Plump Hyaluronic Cream,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
5,4.8,FRESH-Best Of Beauty Bundle (Christmas Limited Edition),1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
6,5.0,ESTÉE LAUDER-Revitalizing Supreme+ Youth Power Soft Creme Moisturizer,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
7,4.5,CLINIQUE-Dramatically Different Moisturizing Gel,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
8,4.4,FRESH-Best Selling Duo (Christmas Limited Edition),1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
9,4.3,CLINIQUE-Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
10,4.2,SK-II-Skinpower Airy Milky Lotion,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
11,4.1,SK-II-Skinpower Cream,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
12,4.2,TATCHA-The Dewy Skin Cream,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
13,4.5,FRESH-Lotus Youth Preserve Dream Face Cream,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
14,4.3,FENTY SKIN-Instant Reset Overnight Recovery Gel-Cream,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1
15,4.2,"THE INKEY LIST-Vitamin B, C And E Moisturizer",1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
16,4.6,LANCÔME-Hydra Zen Anti-Stress Moisturising Cream-Gel,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
17,4.1,THE INKEY LIST-Bakuchiol Moisturizer,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
18,4.4,FRESH-Lotus Youth Preserve Moisturizer With Multi-Action Super Lotus,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
19,4.1,CAUDALIE-Vinoperfect Dark Spot Correcting Glycolic Night Cream,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
20,4.2,EGYPTIAN MAGIC-Egyptian Magic Cream,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
21,4.5,IT COSMETICS-Confidence In Your Beauty Sleep Cream,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
22,4.4,OLE HENRIKSEN-C-Rush Brightening Gel Crème,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
23,4.0,THE INKEY LIST-Peptide Moisturizer,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
24,4.1,BIOSSANCE-Squalane + Probiotic Gel Moisturizer,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
25,4.6,DRUNK ELEPHANT-Protini™ Polypeptide Cream Mini,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
26,4.5,LANEIGE-Cream Skin Refiner,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
27,4.7,ALLIES OF SKIN-Retinal & Peptides Repair Night Cream,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
28,5.0,FRESH-Day & Night Hydration (Christmas Limited Edition),1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
29,4.5,BIOSSANCE-Squalane + Omega Repair Cream,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
30,4.6,INNISFREE-Jeju Cherry Blossom Jelly Cream,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
31,4.5,FRESH-Rose Deep Hydration Essentials (Christmas Limited Edition),1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1
32,4.4,SHISEIDO-Energizing Moisturizer Extra Light Fluid,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
33,4.1,DRUNK ELEPHANT-A-Passioni™ Retinol Skincare Cream,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
34,4.5,IT COSMETICS-Confidence in a Cream™ Transforming Moisturizing Super Cream,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
35,4.5,FIRST AID BEAUTY-Ultra Repair Firming Collagen Cream,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
36,4.0,DRUNK ELEPHANT-Protini™ Polypeptide Cream,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
37,4.5,KORA ORGANICS BY MIRANDA KERR-Turmeric Glow Moisturizer,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
38,4.4,SUNDAY RILEY-C.E.O. Vitamin C Rich Hydration Cream,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
