,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Gel,Liquid,LoosePowder,Lotion,Oil,Spray,20s,30s,40s,50+,Under20
0,4.3,SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
1,4.5,SHISEIDO-Global Suncare The Perfect Protector SPF 50+/PA++++,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1
2,4.2,SUPERGOOP!-Mineral Mattescreen SPF 40 PA+++,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1
3,4.2,SUPERGOOP!-PLAY Everyday Lotion With Sunflower Extract Broad Spectrum Sunscreen SPF 50 PA++++,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
4,4.2,SUPERGOOP!-(Re)setting 100% Mineral Powder Broad Spectrum Sunscreen SPF 35 PA+++,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
5,4.4,FENTY SKIN-Hydra Vizor Invisible Broad Spectrum SPF 30 Sunscreen Moisturizer,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1
6,4.0,SUPERGOOP!-Glowscreen Broad Spectrum Sunscreen Primer SPF 40 PA+++,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1
7,3.8,SUPERGOOP!-Glow Stick Sunscreen SPF 50 PA++++,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0
8,4.7,SUPERGOOP!-Every Single Face SPR-Shield watery lotion SPF 50,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1
9,4.3,LANCÔME-UV Expert Youth-Shield™ Aqua Gel SPF50 PA++++,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
10,3.9,GLOW RECIPE-Watermelon Glow Niacinamide Sunscreen SPF 50,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1
11,3.4,SUPERGOOP!-CC Screen 100% Mineral CC Cream Broad Spectrum Sunscreen SPF 50 PA+++,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0
12,5.0,SUPERGOOP!-Mineral Sheerscreen SPF 50 PA++++,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
