,rating,unique_id,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,DarkCircles,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Cream,Gel,Liquid,Lotion,Sheet,Spray,Wipe,20s,30s,40s,50+,Under20
0,5.0,FRESH-Skincare Prep Essentials (Christmas Limited Edition),1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1
1,4.6,SK-II-Facial Treatment Clear Lotion,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1
2,4.4,PIXI-Glow Tonic,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
3,4.3,CAUDALIE-Beauty Elixir Bauble (Christmas Limited Edition),1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
4,4.4,CAUDALIE-Grape Water,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
5,4.4,FRESH-Kombucha Facial Treatment Essence,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
6,4.8,FRESH-Best Of Beauty Bundle (Christmas Limited Edition),1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1
7,4.3,FRESH-Rose Deep Hydration Facial Toner,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1
8,4.7,FRESH-Rose Deep Hydration Facial Toner (Limited Edition),1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
9,4.3,FENTY SKIN-Fat Water Pore-Refining Toner Serum,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1
10,4.1,ESTÉE LAUDER-Micro Essence Treatment Lotion With Bio-Ferment,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1
11,4.4,THE INKEY LIST-Glycolic Acid Toner,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0
12,4.2,CAUDALIE-Vinopure Clear Skin Purifying Toner,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1
13,5.0,ORIGINS-Mega-Mushroom Magic Ultimate Skin Relief Collection (Christmas Limited Edition),1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
14,4.4,GLOW RECIPE-Watermelon Glow PHA + BHA Pore-Tight Toner,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1
