pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive
https://www.sephora.sg/products/ole-henriksen-strength-trainer-peptide-boost-moisturizer/v/50ml,OLE HENRIKSEN,Strength Trainer Peptide Boost Moisturizer,80.0,4.5,698,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-rose-deep-hydration-face-cream-moisturizer/v/50ml,FRESH,Rose Deep Hydration Face Cream Moisturizer,76.0,4.6,2106,0
https://www.sephora.sg/products/ole-henriksen-cold-plunge-pore-remedy-moisturizer,OLE HENRIKSEN,Cold Plunge™ Pore Remedy Moisturizer,82.0,4.4,1052,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/first-aid-beauty-ultra-repair-cream/v/226g,FIRST AID BEAUTY,Ultra Repair Cream,69.0,4.5,10406,0
https://www.sephora.sg/products/glow-recipe-hey-you-youre-a-bright-light-set-christmas-limited-edition,GLOW RECIPE,"Hey You, You're A Bright Light Set (Christmas Limited Edition)",78.0,NA,NA,0
https://www.sephora.sg/products/glow-recipe-plum-plump-hyaluronic-cream/v/50ml,GLOW RECIPE,Plum Plump Hyaluronic Cream,62.0,4.5,1096,NEW | SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58.0,4.8,4,0
https://www.sephora.sg/products/estee-lauder-revitalizing-supreme-plus-youth-power-soft-creme-moisturizer/v/75ml,ESTÉE LAUDER,Revitalizing Supreme+ Youth Power Soft Creme Moisturizer,197.0,5.0,3,0
https://www.sephora.sg/products/clinique-dramatically-different-moisturizing-gel,CLINIQUE,Dramatically Different Moisturizing Gel,62.0,4.5,291,0
https://www.sephora.sg/products/fresh-best-selling-duo-christmas-limited-edition,FRESH,Best Selling Duo (Christmas Limited Edition),38.0,NA,NA,0
https://www.sephora.sg/products/clinique-moisture-surge-100h-auto-replenishing-hydrator-moisturiser/v/50ml,CLINIQUE,Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,78.0,4.3,1910,0
https://www.sephora.sg/products/sk-ii-skinpower-airy-milky-lotion/v/80g,SK-II,Skinpower Airy Milky Lotion,245.0,4.2,17,0
https://www.sephora.sg/products/fresh-5-minute-skin-rescue-heroes-skincare-kit,FRESH,5-Minute Skin Rescue Heroes Skincare Kit,45.0,4.8,9,0
