pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id
https://www.sephora.sg/products/ole-henriksen-strength-trainer-peptide-boost-moisturizer/v/50ml,OLE HENRIKSEN,Strength Trainer Peptide Boost Moisturizer,80.0,4.5,698.0,SEPHORA EXCLUSIVE,OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer
https://www.sephora.sg/products/fresh-rose-deep-hydration-face-cream-moisturizer/v/50ml,FRESH,Rose Deep Hydration Face Cream Moisturizer,76.0,4.6,2106.0,0,FRESH-Rose Deep Hydration Face Cream Moisturizer
https://www.sephora.sg/products/ole-henriksen-cold-plunge-pore-remedy-moisturizer,OLE HENRIKSEN,Cold Plunge™ Pore Remedy Moisturizer,82.0,4.4,1052.0,SEPHORA EXCLUSIVE,OLE HENRIKSEN-Cold Plunge™ Pore Remedy Moisturizer
https://www.sephora.sg/products/first-aid-beauty-ultra-repair-cream/v/226g,FIRST AID BEAUTY,Ultra Repair Cream,69.0,4.5,10406.0,0,FIRST AID BEAUTY-Ultra Repair Cream
https://www.sephora.sg/products/glow-recipe-plum-plump-hyaluronic-cream/v/50ml,GLOW RECIPE,Plum Plump Hyaluronic Cream,62.0,4.5,1096.0,NEW | SEPHORA EXCLUSIVE,GLOW RECIPE-Plum Plump Hyaluronic Cream
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58.0,4.8,4.0,0,FRESH-Best Of Beauty Bundle (Christmas Limited Edition)
https://www.sephora.sg/products/estee-lauder-revitalizing-supreme-plus-youth-power-soft-creme-moisturizer/v/75ml,ESTÉE LAUDER,Revitalizing Supreme+ Youth Power Soft Creme Moisturizer,197.0,5.0,3.0,0,ESTÉE LAUDER-Revitalizing Supreme+ Youth Power Soft Creme Moisturizer
https://www.sephora.sg/products/clinique-dramatically-different-moisturizing-gel,CLINIQUE,Dramatically Different Moisturizing Gel,62.0,4.5,291.0,0,CLINIQUE-Dramatically Different Moisturizing Gel
https://www.sephora.sg/products/fresh-best-selling-duo-christmas-limited-edition,FRESH,Best Selling Duo (Christmas Limited Edition),38.0,,,0,FRESH-Best Selling Duo (Christmas Limited Edition)
https://www.sephora.sg/products/clinique-moisture-surge-100h-auto-replenishing-hydrator-moisturiser/v/50ml,CLINIQUE,Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,78.0,4.3,1910.0,0,CLINIQUE-Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser
https://www.sephora.sg/products/sk-ii-skinpower-airy-milky-lotion/v/80g,SK-II,Skinpower Airy Milky Lotion,245.0,4.2,17.0,0,SK-II-Skinpower Airy Milky Lotion
https://www.sephora.sg/products/sk-ii-skinpower-cream/v/80g,SK-II,Skinpower Cream,245.0,4.1,14.0,0,SK-II-Skinpower Cream
https://www.sephora.sg/products/tatcha-the-dewy-skin-cream/v/50ml,TATCHA,The Dewy Skin Cream,120.0,4.2,2962.0,SEPHORA EXCLUSIVE,TATCHA-The Dewy Skin Cream
https://www.sephora.sg/products/fresh-lotus-youth-preserve-dream-face-cream/v/50ml,FRESH,Lotus Youth Preserve Dream Face Cream,95.0,4.5,2203.0,0,FRESH-Lotus Youth Preserve Dream Face Cream
https://www.sephora.sg/products/fenty-skin-instant-reset-overnight-recovery-gel-cream,FENTY SKIN,Instant Reset Overnight Recovery Gel-Cream,69.0,4.3,287.0,SEPHORA EXCLUSIVE,FENTY SKIN-Instant Reset Overnight Recovery Gel-Cream
https://www.sephora.sg/products/the-inkey-list-vitamin-b-c-and-e-moisturizer/v/50ml,THE INKEY LIST,"Vitamin B, C And E Moisturizer",12.0,4.2,870.0,SEPHORA EXCLUSIVE,"THE INKEY LIST-Vitamin B, C And E Moisturizer"
https://www.sephora.sg/products/fenty-skin-instant-reset-overnight-recovery-gel-cream-refill,FENTY SKIN,Instant Reset Overnight Recovery Gel-Cream Refill,62.0,4.8,29.0,SEPHORA EXCLUSIVE,FENTY SKIN-Instant Reset Overnight Recovery Gel-Cream Refill
https://www.sephora.sg/products/lancome-hydra-zen-cream-gel,LANCÔME,Hydra Zen Anti-Stress Moisturising Cream-Gel,109.0,4.6,1290.0,0,LANCÔME-Hydra Zen Anti-Stress Moisturising Cream-Gel
https://www.sephora.sg/products/the-inkey-list-bakuchiol-moisturizer,THE INKEY LIST,Bakuchiol Moisturizer,21.0,4.1,458.0,SEPHORA EXCLUSIVE,THE INKEY LIST-Bakuchiol Moisturizer
https://www.sephora.sg/products/fresh-lotus-youth-preserve-moisturizer-with-multi-action-super-lotus/v/50ml,FRESH,Lotus Youth Preserve Moisturizer With Multi-Action Super Lotus,95.0,4.4,1312.0,0,FRESH-Lotus Youth Preserve Moisturizer With Multi-Action Super Lotus
https://www.sephora.sg/products/caudalie-vinoperfect-dark-spot-correcting-glycolic-night-cream,CAUDALIE,Vinoperfect Dark Spot Correcting Glycolic Night Cream,77.0,4.1,14.0,SEPHORA EXCLUSIVE,CAUDALIE-Vinoperfect Dark Spot Correcting Glycolic Night Cream
https://www.sephora.sg/products/egyptian-magic-egyptian-magic-cream/v/118ml,EGYPTIAN MAGIC,Egyptian Magic Cream,66.0,4.2,310.0,SEPHORA EXCLUSIVE,EGYPTIAN MAGIC-Egyptian Magic Cream
https://www.sephora.sg/products/it-cosmetics-confidence-in-your-beauty-sleep-cream/v/60ml,IT COSMETICS,Confidence In Your Beauty Sleep Cream,80.0,4.5,467.0,0,IT COSMETICS-Confidence In Your Beauty Sleep Cream
