unique_id,rating,Combination,Dry,Normal,Oily,Sensitive,Ageing,Blackheads,Blemishes,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,Oiliness,Pigmentation&DarkSpots,Puffiness,UnevenSkinTexture,UnevenSkinTone,VisiblePores,Balm,Cream,Foam,Gel,Liquid,Lotion,Oil,20s,30s,40s,50+,Under20
OLE HENRIKSEN-Strength Trainer Peptide Boost Moisturizer,4.5,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
FRESH-Rose Deep Hydration Face Cream Moisturizer,4.6,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
OLE HENRIKSEN-Cold Plunge™ Pore Remedy Moisturizer,4.4,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1
FIRST AID BEAUTY-Ultra Repair Cream,4.5,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
GLOW RECIPE-Plum Plump Hyaluronic Cream,4.5,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
FRESH-Best Of Beauty Bundle (Christmas Limited Edition),4.8,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1
ESTÉE LAUDER-Revitalizing Supreme+ Youth Power Soft Creme Moisturizer,5.0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
CLINIQUE-Dramatically Different Moisturizing Gel,4.5,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
FRESH-Best Selling Duo (Christmas Limited Edition),4.4,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
CLINIQUE-Moisture Surge 100H Auto-Replenishing Hydrator Moisturiser,4.3,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
SK-II-Skinpower Airy Milky Lotion,4.2,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
SK-II-Skinpower Cream,4.1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
TATCHA-The Dewy Skin Cream,4.2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
FRESH-Lotus Youth Preserve Dream Face Cream,4.5,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
FENTY SKIN-Instant Reset Overnight Recovery Gel-Cream,4.3,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1
"THE INKEY LIST-Vitamin B, C And E Moisturizer",4.2,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
LANCÔME-Hydra Zen Anti-Stress Moisturising Cream-Gel,4.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
THE INKEY LIST-Bakuchiol Moisturizer,4.1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
FRESH-Lotus Youth Preserve Moisturizer With Multi-Action Super Lotus,4.4,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
CAUDALIE-Vinoperfect Dark Spot Correcting Glycolic Night Cream,4.1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
EGYPTIAN MAGIC-Egyptian Magic Cream,4.2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
IT COSMETICS-Confidence In Your Beauty Sleep Cream,4.5,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0
OLE HENRIKSEN-C-Rush Brightening Gel Crème,4.4,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1
THE INKEY LIST-Peptide Moisturizer,4.0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
BIOSSANCE-Squalane + Probiotic Gel Moisturizer,4.1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
DRUNK ELEPHANT-Protini™ Polypeptide Cream Mini,4.6,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
LANEIGE-Cream Skin Refiner,4.5,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
ALLIES OF SKIN-Retinal & Peptides Repair Night Cream,4.7,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
FRESH-Day & Night Hydration (Christmas Limited Edition),5.0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
BIOSSANCE-Squalane + Omega Repair Cream,4.5,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
INNISFREE-Jeju Cherry Blossom Jelly Cream,4.6,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1
FRESH-Rose Deep Hydration Essentials (Christmas Limited Edition),4.5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1
