unique_id,review_country,review_title,review_text
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Malaysia,brilliant primer,love how I can skip the primer in my routine and apply make up on this - doesn't cause patchiness and keeps everything in place plus the added benefit of being and spf
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Malaysia,couldn’t find any better than this,"Perfect sunscreen for my under eye area! I’m concerned about premature aging there ...and have searched for a sunscreen that smooths under concealer, doesn’t irritate, and stays put. This is it! (I’m reluctant to try it all over my face because it’s high-silicone...which is likely to clog my pores...But for under eyes, it’s perfect.)"
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Malaysia,ten out of ten ,I cant give this enough praise and more stars. this truly is one of the best sun screens I've tried. I love how it goes on smoothly and it gives a natural glow. best part that it doesn't leave a white cast 
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Malaysia,unseen sunscreen,"I love this sunscreen and it has make my life easier in the morning especially when i was running late to work. The only issue i have is that whenever i sweats - this will sting my eyes and i hate it haha - the rest are all ok, will repurchase for sure
"
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Malaysia,Soft,This sunscreen really nice. It works well on my skin and I really like it.
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Singapore,Functions as sunscreen and primer,Love how lightweight this sunscreen is and it also act as a primer before makeup! Does not leave any whitecast on my skin after application. The only downside to this product is such that it’s abit too expensive
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Singapore,5th Tube,"Love this product. I carry it everywhere. It does not create a white case and it does not hurt when you rub your eyes or anything. 
works as a great primer, for me. 

Will continue to buy this product. "
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Singapore,holy grail,"listen... I'm a brown woman who's been looking for the perfect sunscreen for years, and this is IT, folks. it is gamechanging. the formula makes the sunscreen translucent for no ghostly cast, gel-like for fuller coverage and with this sort of fine grainy feel for a matte finish & fragrance free for the sensitive skin folks. I have combi/oily skin and it hasn't irritated my skin or caused breakouts or anything of the sort. I am SOLD and I'm not turning back. if you're a brown Asian woman like me who's been looking for the perfect sunscreen for too long, just get on this one. take my word for it. it is pricey but it is worth it."
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,Singapore,Best sunscreen,The best sunscreen for tan to dark skinned. It does not leave a white cast on the face. Can be a used as a primer as well. it lasted me for 5 to 6 months with a daily usage in the mornings. Well recommended. 
SUPERGOOP!-Unseen Sunscreen Broad Spectrum Sunscreen SPF 40 PA+++,USA,could be better,"not my fav but definitely an okay sunscreen, leaves me with a silicone film which my skin doesnt love but i like that there isnt a white cast."
