pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive
https://www.sephora.sg/products/glow-recipe-hey-you-youre-glowing-kit-christmas-limited-edition,GLOW RECIPE,Hey You You'Re Glowing Kit (Christmas Limited Edition),78.0,4.6,13,NEW | SEPHORA EXCLUSIVE
https://www.sephora.sg/products/glow-recipe-fruit-babies-bestsellers-kit,GLOW RECIPE,Fruit Babies Bestsellers Kit,51.0,4.5,335,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-skincare-prep-essentials-christams-limited-edition,FRESH,Skincare Prep Essentials (Christmas Limited Edition),38.0,5.0,2,0
https://www.sephora.sg/products/sk-ii-facial-treatment-clear-lotion/v/230ml,SK-II,Facial Treatment Clear Lotion,129.0,4.6,206,0
https://www.sephora.sg/products/pixi-glow-tonic/v/250-ml,PIXI,Glow Tonic,48.0,4.4,2707,0
https://www.sephora.sg/products/caudalie-beauty-elixir-bauble-christmas-limited-edition,CAUDALIE,Beauty Elixir Bauble (Christmas Limited Edition),25.0,NA,NA,0
https://www.sephora.sg/products/caudalie-grape-water/v/300ml,CAUDALIE,Grape Water,35.0,4.4,1771,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fresh-kombucha-facial-treatment-essence/v/default,FRESH,Kombucha Facial Treatment Essence,122.0,4.4,2704,0
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58.0,4.8,4,0
https://www.sephora.sg/products/fresh-rose-deep-hydration-facial-toner/v/default,FRESH,Rose Deep Hydration Facial Toner,70.0,4.3,2939,0
https://www.sephora.sg/products/fresh-rose-deep-hydration-facial-toner-limited-edition,FRESH,Rose Deep Hydration Facial Toner (Limited Edition),98.0,4.7,52,0
https://www.sephora.sg/products/fenty-skin-fat-water-pore-refining-toner-serum,FENTY SKIN,Fat Water Pore-Refining Toner Serum,49.0,4.3,646,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/estee-lauder-micro-essence-treatment-lotion-with-bio-ferment/v/100ml,ESTÉE LAUDER,Micro Essence Treatment Lotion With Bio-Ferment,91.0,4.1,211,0
https://www.sephora.sg/products/the-inkey-list-glycolic-acid-toner,THE INKEY LIST,Glycolic Acid Toner,18.0,4.4,502,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/dr-jart-cicapair-calming-gel-special-set,DR.JART+,Cicapair Calming Gel Special Set,53.0,5.0,1,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/laneige-complete-waterbank-blue-hyaluronic-hydration-set,LANEIGE,Complete Waterbank Blue Hyaluronic Hydration Set,90.0,5.0,1,0
https://www.sephora.sg/products/laneige-water-bank-blue-hyaluronic-cream-set-for-combination-to-oily-skin-christmas-limited-edition,LANEIGE,Water Bank Blue Hyaluronic Cream Set For Combination To Oily Skin (Christmas Limited Edition),60.0,4.0,1,0
https://www.sephora.sg/products/caudalie-vinopure-clear-skin-purifying-toner/v/400ml,CAUDALIE,Vinopure Clear Skin Purifying Toner,57.0,4.2,676,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/origins-mega-mushroom-magic-ultimate-skin-relief-collection-christmas-limited-edition,ORIGINS,Mega-Mushroom Magic Ultimate Skin Relief Collection (Christmas Limited Edition),65.0,5.0,1,0
https://www.sephora.sg/products/caudalie-vinopure-anti-blemish-solution-set,CAUDALIE,Vinopure Anti-Blemish Solution Set,65.0,4.6,10,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/glow-recipe-watermelon-glow-pha-plus-bha-pore-tight-toner/v/150ml,GLOW RECIPE,Watermelon Glow PHA + BHA Pore-Tight Toner,54.0,4.4,3432,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fenty-skin-fat-water-pore-refining-toner-serum-christmas-limited-edition,FENTY SKIN,Fat Water Pore-Refining Toner Serum (Christmas Limited Edition),66.0,5.0,2,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fenty-skin-fat-water-hydrating-milky-toner-essence,FENTY SKIN,Fat Water Hydrating Milky Toner Essence,48.0,4.7,280,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/first-aid-beauty-facial-radiance-pads/v/60,FIRST AID BEAUTY,Facial Radiance Pads,53.0,4.3,2735,0
https://www.sephora.sg/products/innisfree-jeju-volcanic-pore-toner-2x,INNISFREE,Jeju Volcanic Pore Toner 2X,27.0,5.0,3,0
https://www.sephora.sg/products/la-mer-the-treatment-lotion/v/150ml,LA MER,The Treatment Lotion,255.0,4.7,429,0
https://www.sephora.sg/products/fresh-soothe-tone-and-hydrate-skincare-set,FRESH,"Soothe, Tone & Hydrate Skincare Set",60.0,4.9,18,0
https://www.sephora.sg/products/dr-jart-ctrl-a-teatreement-toner,DR.JART+,Ctrl-A Teatreement™ Toner,29.0,4.8,5,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/fenty-skin-mini-skin-must-haves-skincare-set-limited-edition,FENTY SKIN,Mini Skin Must-Haves Skincare Set (Limited Edition),108.0,4.8,4,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/ole-henriksen-barrier-booster-orange-ferment-essence,OLE HENRIKSEN,Barrier Booster Orange Ferment Essence,73.0,4.8,605,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/origins-dr-andrew-weil-for-origins-mega-mushroom-relief-and-resilience-soothing-treatment-lotion/v/200ml,ORIGINS,Dr. Andrew Weil for Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,65.0,4.4,569,0
https://www.sephora.sg/products/caudalie-vinoperfect-concentrated-brightening-glycolic-essence,CAUDALIE,Vinoperfect Concentrated Brightening Glycolic Essence,57.0,4.3,11,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/pixi-retinol-tonic/v/250ml,PIXI,Retinol Tonic,48.0,4.0,145,0
https://www.sephora.sg/products/ole-henriksen-glow2oh-dark-spot-toner-christmas-limited-edition,OLE HENRIKSEN,Glow2OH™ Dark Spot Toner (Christmas Limited Edition),62.0,4.2,5,NEW | SEPHORA EXCLUSIVE
https://www.sephora.sg/products/laneige-water-bank-blue-hyaluronic-cream-set-for-normal-to-dry-skin-christmas-limited-edition,LANEIGE,Water Bank Blue Hyaluronic Cream Set For Normal To Dry Skin (Christmas Limited Edition),60.0,NA,NA,NEW | SEPHORA EXCLUSIVE
https://www.sephora.sg/products/indie-lee-coq-10-toner/v/default,INDIE LEE,CoQ-10 Toner,36.0,4.3,494,SEPHORA EXCLUSIVE
https://www.sephora.sg/products/laneige-cream-skin-refiner,LANEIGE,Cream Skin Refiner,38.0,4.5,15,0
https://www.sephora.sg/products/clinique-3-step-routine-skincare-set,CLINIQUE,3-Step Routine Skincare Set,70.0,NA,NA,0
https://www.sephora.sg/products/pixi-pixi-plus-hello-kitty-glow-tonic/v/100ml,PIXI,Pixi + Hello Kitty Glow Tonic,22.0,4.6,14,0
