pdt_url,brand,pdt_name,price,rating,num_reviews,sephora_exclusive,unique_id,pdt_images,skin_type,skin_concerns,formulation,age,category
https://www.sephora.sg/products/fresh-skincare-prep-essentials-christams-limited-edition,FRESH,Skincare Prep Essentials (Christmas Limited Edition),38,5.0,2.0,0,FRESH-Skincare Prep Essentials (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280159251-FRESH-Skincare-Prep-Essentials-Christams-Limited-Edition-Default_b3fb1d69167357dd241642dc24909e3053d95cdf_1663068114.png,"Combination,Dry,Normal,Oily","Dryness,VisiblePores","Gel,Liquid","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/sk-ii-facial-treatment-clear-lotion/v/230ml,SK-II,Facial Treatment Clear Lotion,129,4.6,206.0,0,SK-II-Facial Treatment Clear Lotion,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_Facial-Treatment-Clear-Lotion-230ml-Pri.Front_WEB_3b7cfcd0fe54c096be163fa6a79683d2f16fd360_1523777988.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,UnevenSkinTexture,UnevenSkinTone",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/pixi-glow-tonic/v/250-ml,PIXI,Glow Tonic,48,4.4,2707.0,0,PIXI-Glow Tonic,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_Pixi_Glowtonic_250ml_2d066080b649e5f85da4fae6db5421f1a5aa25c8_1523777781.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,Oiliness,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/caudalie-beauty-elixir-bauble-christmas-limited-edition,CAUDALIE,Beauty Elixir Bauble (Christmas Limited Edition),25,4.3,0.0,0,CAUDALIE-Beauty Elixir Bauble (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_3522932027292-Caudalie-Beauty-Elixir-Bauble-Christmas-Limited-Edition-30ml_585495e02780ea14f7fcad700690e24c57e791c3_1665159269.png,"Combination,Dry,Normal,Oily","Dullness,FineLines&Wrinkles,UnevenSkinTexture,VisiblePores","Liquid,Spray","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/caudalie-grape-water/v/300ml,CAUDALIE,Grape Water,35,4.4,1771.0,1,CAUDALIE-Grape Water,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product-Clean_3522930003311-Caudalie-Grape-Water-300ml_16731c2742b77bd2d479d6a9e0c64c1a5268c981_1659282124.png,"Combination,Dry,Normal,Oily",Dryness,"Liquid,Spray","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fresh-kombucha-facial-treatment-essence/v/default,FRESH,Kombucha Facial Treatment Essence,122,4.4,2704.0,0,FRESH-Kombucha Facial Treatment Essence,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280133763-Fresh-Kombucha-Facial-Treatment-Essence_Update_555cf085bcd93cd37ca75aed6823a828e93623d3_1633071587.png,"Combination,Dry,Normal,Oily","Ageing,Dryness,Dullness,FineLines&Wrinkles,Firmness&Elasticity,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fresh-best-of-beauty-bundle-christmas-limited-edition,FRESH,Best Of Beauty Bundle (Christmas Limited Edition),58,4.8,4.0,0,FRESH-Best Of Beauty Bundle (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280159855-FRESH-Best-Of-Beauty-Bundle-Christmas-Limited-Edition-Default_eadd7b8b0304ec48f80f18c291ee4e5dc869d9b9_1663068118.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,VisiblePores","Cream,Liquid","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fresh-rose-deep-hydration-facial-toner/v/default,FRESH,Rose Deep Hydration Facial Toner,70,4.3,2939.0,0,FRESH-Rose Deep Hydration Facial Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280126758-FRESH-Rose-Deep-Hydration-Facial-Toner-250ml_9c2cbf0ea40639d27d5c9a368056192befc0cf24_1618373634.png,"Combination,Dry,Normal,Oily,Sensitive",Dryness,Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fresh-rose-deep-hydration-facial-toner-limited-edition,FRESH,Rose Deep Hydration Facial Toner (Limited Edition),98,4.7,52.0,0,FRESH-Rose Deep Hydration Facial Toner (Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_809280153266-FRESH-Rose-Deep-Hydration-Facial-Toner-Limited-Edition-400ml_b10c628e05e60a8e2565a48bac4359b3a02db43a_1633026453.png,"Combination,Dry,Normal,Oily","Dryness,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fenty-skin-fat-water-pore-refining-toner-serum,FENTY SKIN,Fat Water Pore-Refining Toner Serum,49,4.3,646.0,1,FENTY SKIN-Fat Water Pore-Refining Toner Serum,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026647151-Fenty-Skin-Fat-Water-Pore-Refining-Toner-Serum-150ml_77d5421e2a1f5ae488a17af088b48b5d7883a8b4_1618235082.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,Oiliness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/estee-lauder-micro-essence-treatment-lotion-with-bio-ferment/v/100ml,ESTÉE LAUDER,Micro Essence Treatment Lotion With Bio-Ferment,91,4.1,211.0,0,ESTÉE LAUDER-Micro Essence Treatment Lotion With Bio-Ferment,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_887167488779-Estee-Lauder-Micro-Essence-Treatment-Lotion-With-Bio-Ferment-100ml_140523afa6afc62fe73f34892d160ca0c8998f8e_1645982375.png,"Combination,Dry,Normal,Oily","Blemishes,Dryness,Dullness,FineLines&Wrinkles,UnevenSkinTexture,VisiblePores",Lotion,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/the-inkey-list-glycolic-acid-toner,THE INKEY LIST,Glycolic Acid Toner,18,4.4,502.0,1,THE INKEY LIST-Glycolic Acid Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_5060422297827-The-Inkey-List-Glycolic-Acid-Toner-100ml_653a9d6c55cd0ecd8a87152305cec2e9b2f0e254_1618687960.png,"Combination,Dry,Normal,Oily,Sensitive","Blemishes,UnevenSkinTone,VisiblePores",Cream,"20s,30s,40s,50+",toner
https://www.sephora.sg/products/caudalie-vinopure-clear-skin-purifying-toner/v/400ml,CAUDALIE,Vinopure Clear Skin Purifying Toner,57,4.2,676.0,1,CAUDALIE-Vinopure Clear Skin Purifying Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_3522930003434-Caudalie-Vinopure-Purifying-Toner_7fe3b36222b3370dcd5dbbef20fe44f47de6b69c_1659282356.png,"Combination,Dry,Normal,Oily","Blackheads,Firmness&Elasticity,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/origins-mega-mushroom-magic-ultimate-skin-relief-collection-christmas-limited-edition,ORIGINS,Mega-Mushroom Magic Ultimate Skin Relief Collection (Christmas Limited Edition),65,5.0,1.0,0,ORIGINS-Mega-Mushroom Magic Ultimate Skin Relief Collection (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_717334263925-Origins-Mega-Mushroom-Magic-Ultimate-Skin-Relief-Collection-Christm_879aba17b61b9241ce863abb80c701a37df93ed2_1664874365.png,"Combination,Dry,Normal,Oily,Sensitive","Dryness,UnevenSkinTexture","Liquid,Lotion","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/glow-recipe-watermelon-glow-pha-plus-bha-pore-tight-toner/v/150ml,GLOW RECIPE,Watermelon Glow PHA + BHA Pore-Tight Toner,54,4.4,3432.0,1,GLOW RECIPE-Watermelon Glow PHA + BHA Pore-Tight Toner,https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_850001316613-Glow-Recipe-Watermelon-Glow-PHABHA-Pore-Tight-Toner-150ml_6aad1f6b48176e6e94bb6b1f86254390f561f53d_1659282674.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,UnevenSkinTexture,VisiblePores","Gel,Liquid","20s,30s,40s,50+,Under20",toner
https://www.sephora.sg/products/fenty-skin-fat-water-pore-refining-toner-serum-christmas-limited-edition,FENTY SKIN,Fat Water Pore-Refining Toner Serum (Christmas Limited Edition),66,5.0,2.0,1,FENTY SKIN-Fat Water Pore-Refining Toner Serum (Christmas Limited Edition),https://image-optimizer-reg.production.sephora-asia.net/images/product_images/closeup_1_Product_840026658799-Fenty-Skin-Fat-Water-Pore-Refining-Toner-Serum-Christmas-Limited-Ed_93837a50d27c990053aea92ae837dac818ec4966_1664356473.png,"Combination,Dry,Normal,Oily","Dryness,Dullness,Pigmentation&DarkSpots,UnevenSkinTexture,UnevenSkinTone,VisiblePores",Liquid,"20s,30s,40s,50+,Under20",toner
