unique_id,review_country,review_title,review_text
FRESH-Skincare Prep Essentials (Christmas Limited Edition),Singapore,Great as gifts,"Great as a gift. Love this set as it contains such useful items. Honestly I'm not a super fan of Fresh, but these sets make me wanna get them to give away. Decent brand and very presentable. "
FRESH-Skincare Prep Essentials (Christmas Limited Edition),Malaysia,great gift,"The holiday packaging is just too cute! This is so great as a gift as well 💝 Plus, love the products in this gift set! Definitely eyeing the other holiday gift sets from Fresh ✨"
FRESH-Skincare Prep Essentials (Christmas Limited Edition),Australia,feels nice!!!,Well I love the rose fragrance in it. Toner feels great on my skin. And simple rose water might do just same. Too early to judge it’s affects though. Nothing out of the ordinary.
FRESH-Skincare Prep Essentials (Christmas Limited Edition),Singapore,fresh best-seller set ,this is really value and worth for money! the toner itself is valued at $38.00 so you basically get the soy face cleanser for free. this was really worth it since i always wanted to try their products but they were too expensive for my liking.
SK-II-Facial Treatment Clear Lotion,Malaysia,clear lotion SK-II,second step after cleanser. menggunakannya membuat kulit muka rasa sangat bersih dan menyegarkan. selain itu ianya mmbuatkan kulit muka mudah mnyerap essence jauh ke bawah kulit.
SK-II-Facial Treatment Clear Lotion,Malaysia,Good for chemical exfoliation ,being using it for a long time. Really loves how it's exfoliate my skin. I use it the whole body 😁. The ingredients contains both BHA and AHA if you look at the ingredient which is great for exfoliation.
SK-II-Facial Treatment Clear Lotion,Malaysia,Must product!,"I have been searching a toner that can replace this one, unfortunately none. I feel my skin clean and fresh after using this. It really helps my skin to glow and it has no side effect or tingling feel after use."
SK-II-Facial Treatment Clear Lotion,Malaysia,best exfoliation ,"Being using SK-II product over 10 years..definitely worth even the price keep increasing.. fast absorbing love, the textured and more importantly help to remove dead skin cell without causing any redness or harm to your skin.. worth to try.! 

"
SK-II-Facial Treatment Clear Lotion,Singapore,surprisingly good,"Used this together with the essence as it’s recommended. Feel that if I don’t use the essence with this it can be quite drying and also because I have sensitive skin. But only after a few uses my skin is smoother.
"
SK-II-Facial Treatment Clear Lotion,Malaysia,Lightweight Lotion,Love love love this treatment lotion. Watery and not sticky at all. Great to apply after foaming cleansing. Freshen your face immediately. No smell at all which I love.
SK-II-Facial Treatment Clear Lotion,Singapore,230ml Facial treatment clear lotion,"Ahhh loving all SKII products, honestly speaking for the first 2 to 3 weeks I feel that this lotion doesn’t do much for my skin but I kept using for about 6 to 7 weeks I can tell that my skin became less oily especially on my t zone and my nose area less black head and will continue to use SKII products in future, I know the price point is very expensive but having a good skin we have to spend the $$$"
SK-II-Facial Treatment Clear Lotion,Malaysia,best ,One of the best face lotion ive used so far. It really penetrates into my skin and leaving it moisturized and glow for all day long. Its also not oily or sticky after applying it. Definitely worth the try! 
SK-II-Facial Treatment Clear Lotion,Malaysia,Holy grail,Feel clear and good for dull skin. 
SK-II-Facial Treatment Clear Lotion,Australia,been using this for 5 years ,"I’ve been using this for 5 years non stop, this product will be a good combo with the essence, it helps to maintain the healthiness of my skin and good control to my combination skin"
SK-II-Facial Treatment Clear Lotion,Singapore,Facial Treatment Clear Lotion,Been using this for years now. It cleans my face without the burning sensation from harsh chemicals. Suitable for sensitive skin. Will keep on repurchasing.
SK-II-Facial Treatment Clear Lotion,Philippines,keep my skin hydrating,"This is my second bottle. I tried many clear lotion but this one fits best on my dry skin. It is a best match for their skII essence, which gives better result. It keeps my skin hydrating, soft and smooth. I love it! "
SK-II-Facial Treatment Clear Lotion,Philippines,Ms.,"I really wanted to love this product. I  partnered it with their Treatment Essence. This is expensive for a toner and I really did not see much of a difference in my skin after using this for years. I think there are better toners than this. But if you have the extra money to spend, then why not."
SK-II-Facial Treatment Clear Lotion,Singapore,My Miracle!,"Since i used this 4years ago, my skin is more brighter and smoother. It helps my skin clear from pimples. Im gonna use this brand forever, best to use with essence and RNA cream"
SK-II-Facial Treatment Clear Lotion,Malaysia,expensive ,"An expensive toner and it dries up my skin lol ,stop using it for awhile and will try to use it again with sk2 treatment essence . Would recommend this to oily to combination skin . "
SK-II-Facial Treatment Clear Lotion,Malaysia,Effective,I can see the improvement on my face. My face become less oily and it does not dry my skin. I will repurchase this product and expect more improvement on my skin 
SK-II-Facial Treatment Clear Lotion,Singapore,lotion,"SKII is really suitable for oily and acne-prone skin, and Qingyinglu can be used for secondary cleaning, clearing ,Exfoliating and absorbing oil, helping the absorption of follow-up skin care, one by one for closed mouth, SK2 clearing lotion and fairy water, both are indispensable. Acne also has a role Qingyinglu is a lotion.  Its role cannot be ignored.  Must use.  Fairy water is essence water.  Not to be used as a make-up lotion.  .  Must use the first step Lightweight dew.  Match like this.  Fairy water can play the biggest role.  #sk2qingyinglu #SK2fairy water"
SK-II-Facial Treatment Clear Lotion,Singapore,SKII-Facial Treatment Clear Lotion,I have a doubt about the SKII product. I bought  SKII facial treatment essence/ clear lotion & aura essence from online. As per attached item all the manufacture date on box are different from original bar code manufacture date. And also box bar code and bottle bar code are different. I believe Sephora is selling the authentic items. Please explain to me whether authentic and/or date?
SK-II-Facial Treatment Clear Lotion,Malaysia,sk ii routine user,"I am years of sk ii clear lotion users. sk ii dont have exfoliating and clear lotion serves as toner and removes impurities after bath. 
due to ageing, skin often look dull and sk ii clear lotion is base before pitera essence. "
SK-II-Facial Treatment Clear Lotion,Malaysia,ho ,This is the best lotion I have ever had it . My skin used to have acne and after I used this it removes dirt and impurities to reveal skin's true radiance. My skin glows and the face texture improved. This Lotion is formulated with Pitera and Alpha Hydroxy Acids (AHA) to improve skin brightness and tone. Must try !
SK-II-Facial Treatment Clear Lotion,Singapore,One of the best toners out there,"It’s so painful to write this review.. Ok here’s the deal. Does SK2 work? Yes 100% it works for me. However the price is just so.. ugh! The furthest i’ve gone with SK2 is the cleanser > clear lotion > treatment essence. And that routine made my skin crystal clear and dewy.

I did notice however that after awhile using this, my face would hit a plateau and it wouldnt deliver exceptional results. More like it would stay consistent after hitting its peak. So yeah, i would recommend this but after 8mths - 10mths you might need to go back to another brand. And then pick this up after that again. "
SK-II-Facial Treatment Clear Lotion,Singapore,Repeat Purchase,Such a great product. This is already my 3rd bottle and it lasts a very long time. It cleanses my face and makes skincare easier to glide when I apply this.
